"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Калужская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11857
"Калужская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1634
"Калужская область","3_2","Количество нарушителей правил дорожного движения - водителей",127908
"Калужская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",11857
"Калужская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1634
"Калужская область","3_2","Количество нарушителей правил дорожного движения всего",1069629
"Костромская область","3_2","Наличие автомобильного транспорта всего",261596
"Костромская область","3_2","Наличие легковых автомобилей",196847
"Костромская область","3_2","Наличие грузовых автомобилей",27078
"Костромская область","3_2","Наличие автобусов",3119
"Костромская область","3_2","Возбуждено дел об административных правонарушениях всего",1083785
"Костромская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",96175
"Костромская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",8793
"Костромская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1981
"Костромская область","3_2","Количество нарушителей правил дорожного движения - водителей",50691
"Костромская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",8793
"Костромская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1981
"Костромская область","3_2","Количество нарушителей правил дорожного движения всего",303117
"Курская область","3_2","Наличие автомобильного транспорта всего",474415
"Курская область","3_2","Наличие легковых автомобилей",374365
"Курская область","3_2","Наличие грузовых автомобилей",28913
"Курская область","3_2","Наличие автобусов",5169
"Курская область","3_2","Возбуждено дел об административных правонарушениях всего",1145048
"Курская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",129318
"Курская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",17294
"Курская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",168
"Курская область","3_2","Количество нарушителей правил дорожного движения - водителей",92824
"Курская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",16478
"Курская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",159
"Курская область","3_2","Количество нарушителей правил дорожного движения всего",1106808
"Липецкая область","3_2","Наличие автомобильного транспорта всего",583777
"Липецкая область","3_2","Наличие легковых автомобилей",449993
"Липецкая область","3_2","Наличие грузовых автомобилей",70422
"Липецкая область","3_2","Наличие автобусов",11513
"Липецкая область","3_2","Возбуждено дел об административных правонарушениях всего",901224
"Липецкая область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",120308
"Липецкая область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",6212
"Липецкая область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",155
"Липецкая область","3_2","Количество нарушителей правил дорожного движения - водителей",71165
"Липецкая область","3_2","Количество нарушителей правил дорожного движения - пешеходов",5937
"Липецкая область","3_2","Количество нарушителей правил дорожного движения - пассажиров",149
"Липецкая область","3_2","Количество нарушителей правил дорожного движения всего",328805
"г. Москва","3_2","Наличие автомобильного транспорта всего",4956366
"г. Москва","3_2","Наличие легковых автомобилей",4154150
"г. Москва","3_2","Наличие грузовых автомобилей",411098
"г. Москва","3_2","Наличие автобусов",44663
"г. Москва","3_2","Возбуждено дел об административных правонарушениях всего",32551497
"г. Москва","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",1261650
"г. Москва","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",110359
"г. Москва","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",16937
"г. Москва","3_2","Количество нарушителей правил дорожного движения - водителей",1261650
"г. Москва","3_2","Количество нарушителей правил дорожного движения - пешеходов",110253
"г. Москва","3_2","Количество нарушителей правил дорожного движения - пассажиров",16749
"г. Москва","3_2","Количество нарушителей правил дорожного движения всего",32284707
"Московская область","3_2","Наличие автомобильного транспорта всего",3564892
"Московская область","3_2","Наличие легковых автомобилей",2883751
"Московская область","3_2","Наличие грузовых автомобилей",339808
"Московская область","3_2","Наличие автобусов",40514
"Московская область","3_2","Возбуждено дел об административных правонарушениях всего",30267435
"Московская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",1178500
"Московская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",120986
"Московская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",8133
"Московская область","3_2","Количество нарушителей правил дорожного движения - водителей",1147655
"Московская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",119264
"Московская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",8037
"Московская область","3_2","Количество нарушителей правил дорожного движения всего",30111925
"Орловская область","3_2","Наличие автомобильного транспорта всего",344383
"Орловская область","3_2","Наличие легковых автомобилей",265831
"Орловская область","3_2","Наличие грузовых автомобилей",52537
"Орловская область","3_2","Наличие автобусов",5784
"Орловская область","3_2","Возбуждено дел об административных правонарушениях всего",729369
"Орловская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",69126
"Орловская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",24318
"Орловская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2063
"Орловская область","3_2","Количество нарушителей правил дорожного движения - водителей",46566
"Орловская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",21282
"Орловская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2058
"Орловская область","3_2","Количество нарушителей правил дорожного движения всего",284489
"Рязанская область","3_2","Наличие автомобильного транспорта всего",572085
"Рязанская область","3_2","Наличие легковых автомобилей",458247
"Рязанская область","3_2","Наличие грузовых автомобилей",66467
"Рязанская область","3_2","Наличие автобусов",5967
"Рязанская область","3_2","Возбуждено дел об административных правонарушениях всего",1731775
"Рязанская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",127256
"Рязанская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",8540
"Рязанская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",10
"Рязанская область","3_2","Количество нарушителей правил дорожного движения - водителей",122972
"Рязанская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",8540
"Рязанская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",10
"Рязанская область","3_2","Количество нарушителей правил дорожного движения всего",1727491
"Смоленская область","3_2","Наличие автомобильного транспорта всего",336360
"Смоленская область","3_2","Наличие легковых автомобилей",248591
"Смоленская область","3_2","Наличие грузовых автомобилей",46521
"Смоленская область","3_2","Наличие автобусов",4731
"Смоленская область","3_2","Возбуждено дел об административных правонарушениях всего",347128
"Смоленская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",108381
"Смоленская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",18463
"Смоленская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",5663
"Смоленская область","3_2","Количество нарушителей правил дорожного движения - водителей",101443
"Смоленская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",18266
"Смоленская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",5581
"Смоленская область","3_2","Количество нарушителей правил дорожного движения всего",339508
"Тамбовская область","3_2","Наличие автомобильного транспорта всего",512205
"Тамбовская область","3_2","Наличие легковых автомобилей",385547
"Тамбовская область","3_2","Наличие грузовых автомобилей",48698
"Тамбовская область","3_2","Наличие автобусов",4133
"Тамбовская область","3_2","Возбуждено дел об административных правонарушениях всего",1241556
"Тамбовская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",115198
"Тамбовская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",11087
"Тамбовская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",947
"Тамбовская область","3_2","Количество нарушителей правил дорожного движения - водителей",77064
"Тамбовская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",10368
"Тамбовская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",936
"Тамбовская область","3_2","Количество нарушителей правил дорожного движения всего",572518
"Тверская область","3_2","Наличие автомобильного транспорта всего",678405
"Тверская область","3_2","Наличие легковых автомобилей",532924
"Тверская область","3_2","Наличие грузовых автомобилей",48867
"Тверская область","3_2","Наличие автобусов",8502
"Тверская область","3_2","Возбуждено дел об административных правонарушениях всего",1068129
"Тверская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",145666
"Тверская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",13872
"Тверская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1686
"Тверская область","3_2","Количество нарушителей правил дорожного движения - водителей",81534
"Тверская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",12900
"Тверская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1660
"Тверская область","3_2","Количество нарушителей правил дорожного движения всего",471005
"Тульская область","3_2","Наличие автомобильного транспорта всего",787937
"Тульская область","3_2","Наличие легковых автомобилей",574743
"Тульская область","3_2","Наличие грузовых автомобилей",104253
"Тульская область","3_2","Наличие автобусов",9909
"Тульская область","3_2","Возбуждено дел об административных правонарушениях всего",2700877
"Тульская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",111852
"Тульская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",10091
"Тульская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",139
"Тульская область","3_2","Количество нарушителей правил дорожного движения - водителей",88128
"Тульская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",9690
"Тульская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",135
"Тульская область","3_2","Количество нарушителей правил дорожного движения всего",1475109
"Ярославская область","3_2","Наличие автомобильного транспорта всего",488676
"Ярославская область","3_2","Наличие легковых автомобилей",388326
"Ярославская область","3_2","Наличие грузовых автомобилей",56266
"Ярославская область","3_2","Наличие автобусов",6903
"Ярославская область","3_2","Возбуждено дел об административных правонарушениях всего",1009261
"Ярославская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",127667
"Ярославская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",8659
"Ярославская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",728
"Ярославская область","3_2","Количество нарушителей правил дорожного движения - водителей",116648
"Ярославская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",8605
"Ярославская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",727
"Ярославская область","3_2","Количество нарушителей правил дорожного движения всего",959054
"Северо-Западный фед.округ","3_2","Наличие автомобильного транспорта всего",6426039
"Северо-Западный фед.округ","3_2","Наличие легковых автомобилей",4924911
"Северо-Западный фед.округ","3_2","Наличие грузовых автомобилей",620118
"Северо-Западный фед.округ","3_2","Наличие автобусов",60270
"Северо-Западный фед.округ","3_2","Возбуждено дел об административных правонарушениях всего",14870529
"Северо-Западный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",1571768
"Северо-Западный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",150202
"Северо-Западный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",15094
"Северо-Западный фед.округ","3_2","Количество нарушителей правил дорожного движения - водителей",1130302
"Северо-Западный фед.округ","3_2","Количество нарушителей правил дорожного движения - пешеходов",144896
"Северо-Западный фед.округ","3_2","Количество нарушителей правил дорожного движения - пассажиров",14901
"Северо-Западный фед.округ","3_2","Количество нарушителей правил дорожного движения всего",5080122
"Республика Карелия","3_2","Наличие автомобильного транспорта всего",367975
"Республика Карелия","3_2","Наличие легковых автомобилей",252954
"Республика Карелия","3_2","Наличие грузовых автомобилей",40069
"Республика Карелия","3_2","Наличие автобусов",3379
"Республика Карелия","3_2","Возбуждено дел об административных правонарушениях всего",615347
"Республика Карелия","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",77699
"Республика Карелия","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",9889
"Республика Карелия","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",487
"Республика Карелия","3_2","Количество нарушителей правил дорожного движения - водителей",50155
"Республика Карелия","3_2","Количество нарушителей правил дорожного движения - пешеходов",9562
"Республика Карелия","3_2","Количество нарушителей правил дорожного движения - пассажиров",487
"Республика Карелия","3_2","Количество нарушителей правил дорожного движения всего",216725
"Республика Коми","3_2","Наличие автомобильного транспорта всего",352513
"Республика Коми","3_2","Наличие легковых автомобилей",272319
"Республика Коми","3_2","Наличие грузовых автомобилей",26716
"Республика Коми","3_2","Наличие автобусов",5056
"Республика Коми","3_2","Возбуждено дел об административных правонарушениях всего",595070
"Республика Коми","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",137425
