"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"  Ненецкий АО","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",32
"  Ненецкий АО","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",30
"  Ненецкий АО","3_2","Количество нарушителей правил дорожного движения - водителей",5708
"  Ненецкий АО","3_2","Количество нарушителей правил дорожного движения - пешеходов",31
"  Ненецкий АО","3_2","Количество нарушителей правил дорожного движения - пассажиров",30
"  Ненецкий АО","3_2","Количество нарушителей правил дорожного движения всего",17992
"Вологодская область","3_2","Наличие автомобильного транспорта всего",572465
"Вологодская область","3_2","Наличие легковых автомобилей",422081
"Вологодская область","3_2","Наличие грузовых автомобилей",57489
"Вологодская область","3_2","Наличие автобусов",4178
"Вологодская область","3_2","Возбуждено дел об административных правонарушениях всего",1497607
"Вологодская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",191954
"Вологодская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",30959
"Вологодская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2879
"Вологодская область","3_2","Количество нарушителей правил дорожного движения - водителей",100486
"Вологодская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",28042
"Вологодская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2836
"Вологодская область","3_2","Количество нарушителей правил дорожного движения всего",448105
"Калининградская область","3_2","Наличие автомобильного транспорта всего",511657
"Калининградская область","3_2","Наличие легковых автомобилей",438706
"Калининградская область","3_2","Наличие грузовых автомобилей",33257
"Калининградская область","3_2","Наличие автобусов",4810
"Калининградская область","3_2","Возбуждено дел об административных правонарушениях всего",845326
"Калининградская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",109438
"Калининградская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",10497
"Калининградская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1280
"Калининградская область","3_2","Количество нарушителей правил дорожного движения - водителей",78108
"Калининградская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",9998
"Калининградская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1267
"Калининградская область","3_2","Количество нарушителей правил дорожного движения всего",247434
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Наличие автомобильного транспорта всего",3147736
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Наличие легковых автомобилей",2431973
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Наличие грузовых автомобилей",319250
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Наличие автобусов",26934
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Возбуждено дел об административных правонарушениях всего",9033346
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",637327
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",58584
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",4111
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Количество нарушителей правил дорожного движения - водителей",460476
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Количество нарушителей правил дорожного движения - пешеходов",57514
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Количество нарушителей правил дорожного движения - пассажиров",4071
"ГУ МВД России по г.Санкт-Петерб. и Лен.обл.","3_2","Количество нарушителей правил дорожного движения всего",2215235
"  Ленинградская область","3_2","Наличие автомобильного транспорта всего",861822
"  Ленинградская область","3_2","Наличие легковых автомобилей",631759
"  Ленинградская область","3_2","Наличие грузовых автомобилей",82567
"  Ленинградская область","3_2","Наличие автобусов",6225
"  Ленинградская область","3_2","Возбуждено дел об административных правонарушениях всего",2143208
"  Ленинградская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",195637
"  Ленинградская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",13712
"  Ленинградская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1050
"  Ленинградская область","3_2","Количество нарушителей правил дорожного движения - водителей",136379
"  Ленинградская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",13328
"  Ленинградская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1047
"  Ленинградская область","3_2","Количество нарушителей правил дорожного движения всего",764303
"  г. Санкт-Петербург","3_2","Наличие автомобильного транспорта всего",2285914
"  г. Санкт-Петербург","3_2","Наличие легковых автомобилей",1800214
"  г. Санкт-Петербург","3_2","Наличие грузовых автомобилей",236683
"  г. Санкт-Петербург","3_2","Наличие автобусов",20709
"  г. Санкт-Петербург","3_2","Возбуждено дел об административных правонарушениях всего",6890138
"  г. Санкт-Петербург","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",441690
"  г. Санкт-Петербург","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",44872
"  г. Санкт-Петербург","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",3061
"  г. Санкт-Петербург","3_2","Количество нарушителей правил дорожного движения - водителей",324097
"  г. Санкт-Петербург","3_2","Количество нарушителей правил дорожного движения - пешеходов",44186
"  г. Санкт-Петербург","3_2","Количество нарушителей правил дорожного движения - пассажиров",3024
"  г. Санкт-Петербург","3_2","Количество нарушителей правил дорожного движения всего",1450932
"Мурманская область","3_2","Наличие автомобильного транспорта всего",329104
"Мурманская область","3_2","Наличие легковых автомобилей",273445
"Мурманская область","3_2","Наличие грузовых автомобилей",18976
"Мурманская область","3_2","Наличие автобусов",3405
"Мурманская область","3_2","Возбуждено дел об административных правонарушениях всего",548180
"Мурманская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",94295
"Мурманская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",4475
"Мурманская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1336
"Мурманская область","3_2","Количество нарушителей правил дорожного движения - водителей",92639
"Мурманская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",4467
"Мурманская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",1335
"Мурманская область","3_2","Количество нарушителей правил дорожного движения всего",546254
"Новгородская  область","3_2","Наличие автомобильного транспорта всего",281503
"Новгородская  область","3_2","Наличие легковых автомобилей",212448
"Новгородская  область","3_2","Наличие грузовых автомобилей",39952
"Новгородская  область","3_2","Наличие автобусов",3526
"Новгородская  область","3_2","Возбуждено дел об административных правонарушениях всего",501743
"Новгородская  область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",94875
"Новгородская  область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",3072
"Новгородская  область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",40
"Новгородская  область","3_2","Количество нарушителей правил дорожного движения - водителей",91146
"Новгородская  область","3_2","Количество нарушителей правил дорожного движения - пешеходов",3072
"Новгородская  область","3_2","Количество нарушителей правил дорожного движения - пассажиров",40
"Новгородская  область","3_2","Количество нарушителей правил дорожного движения всего",496975
"Псковская область","3_2","Наличие автомобильного транспорта всего",368833
"Псковская область","3_2","Наличие легковых автомобилей",262364
"Псковская область","3_2","Наличие грузовых автомобилей",38037
"Псковская область","3_2","Наличие автобусов",4175
"Псковская область","3_2","Возбуждено дел об административных правонарушениях всего",624373
"Псковская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",88486
"Псковская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",7497
"Псковская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",174
"Псковская область","3_2","Количество нарушителей правил дорожного движения - водителей",75148
"Псковская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",7461
"Псковская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",170
"Псковская область","3_2","Количество нарушителей правил дорожного движения всего",457084
"Северо-Кавказский фед.округ","3_2","Наличие автомобильного транспорта всего",3121542
"Северо-Кавказский фед.округ","3_2","Наличие легковых автомобилей",2456664
"Северо-Кавказский фед.округ","3_2","Наличие грузовых автомобилей",434190
"Северо-Кавказский фед.округ","3_2","Наличие автобусов",73404
"Северо-Кавказский фед.округ","3_2","Возбуждено дел об административных правонарушениях всего",7384459
"Северо-Кавказский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",1760934
"Северо-Кавказский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",91741
"Северо-Кавказский фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",27060
"Северо-Кавказский фед.округ","3_2","Количество нарушителей правил дорожного движения - водителей",1141862
"Северо-Кавказский фед.округ","3_2","Количество нарушителей правил дорожного движения - пешеходов",85211
"Северо-Кавказский фед.округ","3_2","Количество нарушителей правил дорожного движения - пассажиров",25157
"Северо-Кавказский фед.округ","3_2","Количество нарушителей правил дорожного движения всего",2990741
"Ставропольский край","3_2","Наличие автомобильного транспорта всего",987844
"Ставропольский край","3_2","Наличие легковых автомобилей",786665
"Ставропольский край","3_2","Наличие грузовых автомобилей",114640
"Ставропольский край","3_2","Наличие автобусов",12965
"Ставропольский край","3_2","Возбуждено дел об административных правонарушениях всего",1658498
"Ставропольский край","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",390268
"Ставропольский край","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",32180
"Ставропольский край","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2270
"Ставропольский край","3_2","Количество нарушителей правил дорожного движения - водителей",362858
"Ставропольский край","3_2","Количество нарушителей правил дорожного движения - пешеходов",31699
"Ставропольский край","3_2","Количество нарушителей правил дорожного движения - пассажиров",2265
"Ставропольский край","3_2","Количество нарушителей правил дорожного движения всего",860053
"Республика Ингушетия","3_2","Наличие автомобильного транспорта всего",118021
"Республика Ингушетия","3_2","Наличие легковых автомобилей",98399
"Республика Ингушетия","3_2","Наличие грузовых автомобилей",14534
"Республика Ингушетия","3_2","Наличие автобусов",3150
"Республика Ингушетия","3_2","Возбуждено дел об административных правонарушениях всего",212577
"Республика Ингушетия","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",73839
"Республика Ингушетия","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",776
"Республика Ингушетия","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",44
"Республика Ингушетия","3_2","Количество нарушителей правил дорожного движения - водителей",33162
"Республика Ингушетия","3_2","Количество нарушителей правил дорожного движения - пешеходов",662
"Республика Ингушетия","3_2","Количество нарушителей правил дорожного движения - пассажиров",44
"Республика Ингушетия","3_2","Количество нарушителей правил дорожного движения всего",86764
"Республика Дагестан","3_2","Наличие автомобильного транспорта всего",869489
"Республика Дагестан","3_2","Наличие легковых автомобилей",679762
"Республика Дагестан","3_2","Наличие грузовых автомобилей",132669
"Республика Дагестан","3_2","Наличие автобусов",24508
"Республика Дагестан","3_2","Возбуждено дел об административных правонарушениях всего",2468156
"Республика Дагестан","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",746952
"Республика Дагестан","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",37840
"Республика Дагестан","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",21686
"Республика Дагестан","3_2","Количество нарушителей правил дорожного движения - водителей",373021
"Республика Дагестан","3_2","Количество нарушителей правил дорожного движения - пешеходов",34721
"Республика Дагестан","3_2","Количество нарушителей правил дорожного движения - пассажиров",19875
"Республика Дагестан","3_2","Количество нарушителей правил дорожного движения всего",786999
"Кабардино-Балкарская Респ.","3_2","Наличие автомобильного транспорта всего",328551
"Кабардино-Балкарская Респ.","3_2","Наличие легковых автомобилей",258009
"Кабардино-Балкарская Респ.","3_2","Наличие грузовых автомобилей",49013
"Кабардино-Балкарская Респ.","3_2","Наличие автобусов",7291
"Кабардино-Балкарская Респ.","3_2","Возбуждено дел об административных правонарушениях всего",802602
"Кабардино-Балкарская Респ.","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",206770
"Кабардино-Балкарская Респ.","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",5256
"Кабардино-Балкарская Респ.","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",613
"Кабардино-Балкарская Респ.","3_2","Количество нарушителей правил дорожного движения - водителей",136872
"Кабардино-Балкарская Респ.","3_2","Количество нарушителей правил дорожного движения - пешеходов",4891
"Кабардино-Балкарская Респ.","3_2","Количество нарушителей правил дорожного движения - пассажиров",609
"Кабардино-Балкарская Респ.","3_2","Количество нарушителей правил дорожного движения всего",326175
"Респ. Сев.Осетия - Алания","3_2","Наличие автомобильного транспорта всего",301459
"Респ. Сев.Осетия - Алания","3_2","Наличие легковых автомобилей",229481
"Респ. Сев.Осетия - Алания","3_2","Наличие грузовых автомобилей",40616
"Респ. Сев.Осетия - Алания","3_2","Наличие автобусов",7831
"Респ. Сев.Осетия - Алания","3_2","Возбуждено дел об административных правонарушениях всего",577346
"Респ. Сев.Осетия - Алания","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",163643
"Респ. Сев.Осетия - Алания","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",9925
"Респ. Сев.Осетия - Алания","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2443
"Респ. Сев.Осетия - Алания","3_2","Количество нарушителей правил дорожного движения - водителей",129597
"Респ. Сев.Осетия - Алания","3_2","Количество нарушителей правил дорожного движения - пешеходов",9677
"Респ. Сев.Осетия - Алания","3_2","Количество нарушителей правил дорожного движения - пассажиров",2360
"Респ. Сев.Осетия - Алания","3_2","Количество нарушителей правил дорожного движения всего",378424
"Карачаево-Черкесская Респ.","3_2","Наличие автомобильного транспорта всего",128326
"Карачаево-Черкесская Респ.","3_2","Наличие легковых автомобилей",102637
"Карачаево-Черкесская Респ.","3_2","Наличие грузовых автомобилей",20456
"Карачаево-Черкесская Респ.","3_2","Наличие автобусов",3311
"Карачаево-Черкесская Респ.","3_2","Возбуждено дел об административных правонарушениях всего",606969
"Карачаево-Черкесская Респ.","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",101276
"Карачаево-Черкесская Респ.","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",766
"Карачаево-Черкесская Респ.","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2
"Карачаево-Черкесская Респ.","3_2","Количество нарушителей правил дорожного движения - водителей",38718
"Карачаево-Черкесская Респ.","3_2","Количество нарушителей правил дорожного движения - пешеходов",714
"Карачаево-Черкесская Респ.","3_2","Количество нарушителей правил дорожного движения - пассажиров",2
"Карачаево-Черкесская Респ.","3_2","Количество нарушителей правил дорожного движения всего",178335
"Чеченская Республика","3_2","Наличие автомобильного транспорта всего",387852
"Чеченская Республика","3_2","Наличие легковых автомобилей",301711
"Чеченская Республика","3_2","Наличие грузовых автомобилей",62262
"Чеченская Республика","3_2","Наличие автобусов",14348
"Чеченская Республика","3_2","Возбуждено дел об административных правонарушениях всего",1058311
"Чеченская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",78186
"Чеченская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",4998
"Чеченская Республика","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2
"Чеченская Республика","3_2","Количество нарушителей правил дорожного движения - водителей",67634
"Чеченская Республика","3_2","Количество нарушителей правил дорожного движения - пешеходов",2847
"Чеченская Республика","3_2","Количество нарушителей правил дорожного движения - пассажиров",2
"Чеченская Республика","3_2","Количество нарушителей правил дорожного движения всего",373991
"Южный фед.округ","3_2","Наличие автомобильного транспорта всего",7171792
"Южный фед.округ","3_2","Наличие легковых автомобилей",5641246
"Южный фед.округ","3_2","Наличие грузовых автомобилей",687322
"Южный фед.округ","3_2","Наличие автобусов",91509
"Южный фед.округ","3_2","Возбуждено дел об административных правонарушениях всего",17126926
"Южный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",1668890
"Южный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",154055
"Южный фед.округ","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",6740
"Южный фед.округ","3_2","Количество нарушителей правил дорожного движения - водителей",1269577
"Южный фед.округ","3_2","Количество нарушителей правил дорожного движения - пешеходов",149908
"Южный фед.округ","3_2","Количество нарушителей правил дорожного движения - пассажиров",6718
"Южный фед.округ","3_2","Количество нарушителей правил дорожного движения всего",9063597
"Краснодарский край","3_2","Наличие автомобильного транспорта всего",2420074
"Краснодарский край","3_2","Наличие легковых автомобилей",1864439
"Краснодарский край","3_2","Наличие грузовых автомобилей",230924
"Краснодарский край","3_2","Наличие автобусов",27098
"Краснодарский край","3_2","Возбуждено дел об административных правонарушениях всего",6359466
"Краснодарский край","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",636730
"Краснодарский край","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",62087
"Краснодарский край","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",1077
"Краснодарский край","3_2","Количество нарушителей правил дорожного движения - водителей",458445
"Краснодарский край","3_2","Количество нарушителей правил дорожного движения - пешеходов",59139
"Краснодарский край","3_2","Количество нарушителей правил дорожного движения - пассажиров",1060
"Краснодарский край","3_2","Количество нарушителей правил дорожного движения всего",4525829
"Астраханская область","3_2","Наличие автомобильного транспорта всего",381368
"Астраханская область","3_2","Наличие легковых автомобилей",299495
"Астраханская область","3_2","Наличие грузовых автомобилей",38909
"Астраханская область","3_2","Наличие автобусов",6693
"Астраханская область","3_2","Возбуждено дел об административных правонарушениях всего",678230
"Астраханская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",142879
"Астраханская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",8556
"Астраханская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2843
"Астраханская область","3_2","Количество нарушителей правил дорожного движения - водителей",135252
"Астраханская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",8554
"Астраханская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2839
"Астраханская область","3_2","Количество нарушителей правил дорожного движения всего",668821
"Волгоградская область","3_2","Наличие автомобильного транспорта всего",1366519
"Волгоградская область","3_2","Наличие легковых автомобилей",1117076
"Волгоградская область","3_2","Наличие грузовых автомобилей",82404
"Волгоградская область","3_2","Наличие автобусов",18280
"Волгоградская область","3_2","Возбуждено дел об административных правонарушениях всего",1400288
"Волгоградская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",211098
"Волгоградская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",18174
"Волгоградская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2266
"Волгоградская область","3_2","Количество нарушителей правил дорожного движения - водителей",103321
"Волгоградская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",18014
"Волгоградская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",2266
"Волгоградская область","3_2","Количество нарушителей правил дорожного движения всего",491529
"Ростовская область","3_2","Наличие автомобильного транспорта всего",1891008
"Ростовская область","3_2","Наличие легковых автомобилей",1462755
"Ростовская область","3_2","Наличие грузовых автомобилей",216129
"Ростовская область","3_2","Наличие автобусов",22387
"Ростовская область","3_2","Возбуждено дел об административных правонарушениях всего",3857353
"Ростовская область","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",345301
"Ростовская область","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",44084
"Ростовская область","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",468
"Ростовская область","3_2","Количество нарушителей правил дорожного движения - водителей",247682
"Ростовская область","3_2","Количество нарушителей правил дорожного движения - пешеходов",43047
"Ростовская область","3_2","Количество нарушителей правил дорожного движения - пассажиров",468
"Ростовская область","3_2","Количество нарушителей правил дорожного движения всего",1330698
"Республика Адыгея","3_2","Наличие автомобильного транспорта всего",261918
"Республика Адыгея","3_2","Наличие легковых автомобилей",214068
"Республика Адыгея","3_2","Наличие грузовых автомобилей",26364
"Республика Адыгея","3_2","Наличие автобусов",3254
"Республика Адыгея","3_2","Возбуждено дел об административных правонарушениях всего",983516
"Республика Адыгея","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",100560
"Республика Адыгея","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",6195
"Республика Адыгея","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",2
"Республика Адыгея","3_2","Количество нарушителей правил дорожного движения - водителей",93796
"Республика Адыгея","3_2","Количество нарушителей правил дорожного движения - пешеходов",6195
"Республика Адыгея","3_2","Количество нарушителей правил дорожного движения - пассажиров",2
"Республика Адыгея","3_2","Количество нарушителей правил дорожного движения всего",976750
"Республика Калмыкия","3_2","Наличие автомобильного транспорта всего",133966
"Республика Калмыкия","3_2","Наличие легковых автомобилей",97490
"Республика Калмыкия","3_2","Наличие грузовых автомобилей",19104
"Республика Калмыкия","3_2","Наличие автобусов",2917
"Республика Калмыкия","3_2","Возбуждено дел об административных правонарушениях всего",151785
"Республика Калмыкия","3_2","Возбуждено дел об административных правонарушениях в отношении водителей транспортных средств",38012
"Республика Калмыкия","3_2","Возбуждено дел об административных правонарушениях в отношении пешеходов",493
"Республика Калмыкия","3_2","Возбуждено дел об административных правонарушениях в отношении пассажиров",8
"Республика Калмыкия","3_2","Количество нарушителей правил дорожного движения - водителей",37359
"Республика Калмыкия","3_2","Количество нарушителей правил дорожного движения - пешеходов",493
"Республика Калмыкия","3_2","Количество нарушителей правил дорожного движения - пассажиров",8
